city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth,real_estate_inv,house_sales
沈阳,2019,730.29,1047.65,6470.0,317.3600000000001,0.0490510046367851,0.0133908747779751,0.0851528836592641,1174.8,1453.53
沈阳,2018,720.64,965.44,6292.4,244.80000000000007,0.0389040747568495,0.0981348287211996,0.1291431779373582,996.72,1354.82
沈阳,2017,656.24,855.02,5864.97,198.77999999999997,0.0338927564846879,0.0568322731298815,0.0358981814657313,814.24,1300.24
沈阳,2016,620.95,825.39,5546.45,204.4399999999999,0.0368596129055521,0.0242643177619426,0.0207895322664424,709.67,1184.32
沈阳,2015,606.24,808.58,7272.31,202.34000000000003,0.0278233463644976,-0.2282113303628262,-0.1156971466692914,1337.66,1065.06
沈阳,2014,785.5,914.37,7098.71,128.87,0.0181540026286466,-0.0193508114856429,0.0375476579520697,1975.82,1498.4
沈阳,2013,801.0,881.28,7158.57,80.27999999999997,0.0112145302762981,0.1202170507943611,0.1503609236512679,2184.01,2262.33
沈阳,2012,715.04,766.09,6602.6,51.05000000000007,0.007731802623209,0.1530671482938785,0.1983450390276715,1942.96,2469.65
沈阳,2011,620.12,639.29,5915.71,19.16999999999996,0.0032405239607756,0.3325883743418931,0.237447253300298,1684.72,2165.17
沈阳,2010,465.35,516.62,5017.5,51.26999999999998,0.0102182361733931,0.4532650448143407,0.085609817601076,1450.08,1746.52
沈阳,2009,320.21,475.88,4269.0,155.67000000000002,0.03646521433591,0.1002267729521713,0.1699857402763436,1188.7,1532.93
沈阳,2008,291.04,406.74,3860.47,115.7,0.0299704440132937,0.2609505654001127,0.1974211022138483,1010.91,1465.05
沈阳,2007,230.81,339.68,3221.15,108.87,0.0337984881175977,0.3141832261003245,0.2638785533561543,730.36,1462.04
沈阳,2006,175.63,268.76,2519.63,93.13,0.0369617761337974,,,538.29,1243.79
济南,2024,1083.05,1397.15,13527.55,314.10000000000014,0.0232192821316498,0.0209554872645689,0.0233357015725597,1557.55,1036.28
济南,2023,1060.82,1365.29,12757.0,304.47,0.023866896605785,0.05961204227181,0.1140040960532651,1489.24,1170.22
济南,2022,1001.14,1225.57,12027.46,224.42999999999995,0.0186598001573066,-0.0064211351614216,-0.0522086800507315,1830.8,1241.95
济南,2021,1007.61,1293.08,11432.22,285.4699999999999,0.0249706531189917,0.1120541232562246,0.003320918684047,1928.0,1548.2
济南,2020,906.08,1288.8,10141.0,382.7199999999999,0.0377398678631298,0.0364794838650637,0.0764039688637958,1707.63,1335.75
济南,2019,874.19,1197.32,9443.0,323.1299999999999,0.0342189981997246,0.1612204776706252,0.1758605450527866,1489.38,1151.0
济南,2018,752.82,1018.25,7856.56,265.42999999999995,0.0337845061960959,0.1116492668448487,0.2208354315037288,1370.43,1236.3
济南,2017,677.21,834.06,7201.96,156.8499999999999,0.0217787935506445,0.0561273821777237,0.1251922402395919,1232.63,1216.27
济南,2016,641.22,741.26,6536.12,100.03999999999996,0.0153057165413119,0.0437882536788643,0.1262268680300222,1163.94,1425.29
济南,2015,614.32,658.18,6100.23,43.8599999999999,0.007189892840106,0.1310735919577266,0.1518524352041441,1014.4,1192.12
济南,2014,543.13,571.41,5770.6,28.279999999999973,0.0049007035663535,0.1266621030140851,0.1003042440113992,917.54,865.35
济南,2013,482.07,519.32,5230.19,37.25000000000006,0.0071221121986008,0.2658736410902789,0.1152103420877446,721.77,822.63
济南,2012,380.82,465.67,4803.7,84.85000000000002,0.0176634677436143,0.1702415340175771,0.173326950211651,664.01,659.56
济南,2011,325.42,396.88,4406.29,71.45999999999998,0.0162177251156868,0.2227858565362792,0.1783847980997623,528.92,596.17
济南,2010,266.13,336.8,3910.5,70.67000000000002,0.0180718578186932,0.2661401589038488,0.2957833179439828,484.5,531.49
济南,2009,210.19,259.92,3351.0,49.73000000000002,0.0148403461653237,0.1299322653478118,0.1744080968733057,332.56,441.06
济南,2008,186.02,221.32,3017.42,35.29999999999998,0.0116987360062569,0.1846898484269519,0.2296921880208913,274.12,371.16
济南,2007,157.02,179.98,2562.81,22.95999999999998,0.0089589161896511,0.2225163500467144,0.2245203429037965,193.21,320.24
济南,2006,128.44,146.98,2185.09,18.539999999999992,0.0084847763707673,,,160.05,284.66
海口,2024,258.26,372.07,2470.63,113.81,0.0460651736601595,-0.0322628995391014,0.0068463495156139,442.7,381.19
海口,2023,266.87,369.54,2358.0,102.67000000000002,0.0435411365564037,0.3029489307684796,0.1107971624383792,482.25,325.79
海口,2022,204.82,332.68,2134.77,127.86,0.0598940401073652,-0.0168010752688172,0.2130095529789251,438.09,269.44
海口,2021,208.32,274.26,2057.06,65.94,0.032055457789272,0.119699005643644,-0.1068776865963266,452.45,484.6
海口,2020,186.05,307.08,1792.0,121.02999999999996,0.0675390624999999,0.0038307974533291,0.1550440081245767,443.67,463.74
海口,2019,185.34,265.86,1672.0,80.52000000000001,0.0481578947368421,0.0910054155874735,0.1158866736621195,480.73,440.56
海口,2018,169.88,238.25,1510.51,68.37,0.0452628582399322,0.3551372048500318,0.2013412666397742,609.42,393.32
海口,2017,125.36,198.32,1390.58,72.96,0.0524673157962864,0.0852740022508873,-0.0098851722416376,603.25,549.59
海口,2016,115.51,200.3,1257.67,84.79,0.0674183211812319,0.035964125560538,0.1718247235710526,551.09,432.71
海口,2015,111.5,170.93,1161.96,59.43000000000001,0.0511463389445419,0.1136636036755891,0.132586800954148,456.39,373.4
海口,2014,100.12,150.92,1091.7,50.79999999999998,0.0465329302922048,0.1543871786002537,0.1433333333333333,300.47,337.66
海口,2013,86.73,132.0,904.64,45.27,0.0500420056597099,0.1853218532185321,0.1594202898550725,256.4,338.19
海口,2012,73.17,113.85,818.8,40.67999999999999,0.0496824621397166,0.2008862629246677,0.1450266519159206,175.66,266.95
海口,2011,60.93,99.43,713.3,38.50000000000001,0.0539744847890088,0.2096486003573556,0.2587669325231043,144.64,221.8
海口,2010,50.37,78.99,595.1,28.619999999999997,0.0480927575197445,0.3103537981269511,0.18585797928239,103.79,209.76
海口,2009,38.44,66.61,490.0,28.17,0.0574897959183673,0.2388011601675796,0.4235947852105151,78.44,191.78
海口,2008,31.03,46.79,443.18,15.759999999999998,0.0355611715330114,-0.3081382385730211,0.0828511918537375,76.17,176.29
海口,2007,44.85,43.21,393.69,-1.6400000000000006,-0.0041657141405674,1.1225745385707526,0.33984496124031,59.97,170.46
海口,2006,21.13,32.25,350.12,11.12,0.0317605392436878,,,50.47,141.64
深圳,2024,3914.18,4700.87,36801.87,786.69,0.0213763594078235,-0.04828850558503,-0.0620901144636846,3219.45,828.67
深圳,2023,4112.78,5012.07,34606.0,899.29,0.0259865341270299,0.0250072275224051,0.0029395403191272,3787.46,762.0
深圳,2022,4012.44,4997.38,32387.68,984.94,0.0304109463845511,-0.0576038706343799,0.0934659600631917,3391.54,679.11
深圳,2021,4257.7,4570.22,30664.85,312.52000000000044,0.0101914732992335,0.1037774246316809,0.0939507674042301,2979.08,799.59
